tenantID,slo_type,eval_period,sla_func_type,param1,param2,param3,...
1,latency,5000,APWL,0.0,0.0,12950,0.0,0.02
2,latency,5000,APWL,0.0,0.0,12950,0.0,0.02
5,latency,5000,APWL,0.0,0.0,12950,0.0,0.006
6,latency,5000,APWL,0.0,0.0,12950,0.0,0.006
7,latency,5000,APWL,0.0,0.0,12950,0.0,0.006
8,latency,5000,APWL,0.0,0.0,12950,0.0,0.006
13,latency,5000,APWL,0.0,0.0,12950,0.0,0.001
14,latency,5000,APWL,0.0,0.0,12950,0.0,0.001
15,latency,5000,APWL,0.0,0.0,12950,0.0,0.001
16,latency,5000,APWL,0.0,0.0,12950,0.0,0.001
17,latency,5000,APWL,0.0,0.0,12950,0.0,0.001
18,latency,5000,APWL,0.0,0.0,12950,0.0,0.001
19,latency,5000,APWL,0.0,0.0,12950,0.0,0.001
20,latency,5000,APWL,0.0,0.0,12950,0.0,0.001
